epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
12,1194.45,2.08386,1.56037,1.59155,0.38811,0.6875,0.51966,0.20734,1.9511,1.95769,2.0438,0.0015644,0.0015644,0.0015644
13,1297.91,2.16314,1.84556,1.76836,0.6955,0.625,0.64139,0.21411,1.96279,1.69511,1.84319,0.0015248,0.0015248,0.0015248
14,1401.61,1.96367,1.59625,1.69529,0.98712,0.75,0.87803,0.45377,1.78736,1.33407,1.76285,0.0014852,0.0014852,0.0014852
15,1503.68,2.30278,1.80173,1.70973,0.40339,0.9375,0.85597,0.40886,1.73157,1.7094,1.78886,0.0014456,0.0014456,0.0014456
16,1601.26,2.03203,1.72576,1.66383,0.64883,0.69314,0.73979,0.30895,1.78836,2.63844,1.80272,0.001406,0.001406,0.001406
17,1699.74,1.9675,1.7887,1.52957,0.9954,0.6875,0.83092,0.34723,1.99322,2.22341,1.91039,0.0013664,0.0013664,0.0013664
18,1798.05,2.00149,1.41275,1.71228,1,0.51331,0.74308,0.33042,2.00403,2.64016,1.89083,0.0013268,0.0013268,0.0013268
19,4980.22,2.10536,1.4694,1.62497,0.88873,0.4375,0.68437,0.25766,1.98163,1.7996,1.89421,0.0012872,0.0012872,0.0012872
20,5079.57,2.01663,1.38447,1.58411,0.88417,0.8125,0.8955,0.35948,1.92524,1.30917,1.84923,0.0012476,0.0012476,0.0012476
21,5179.81,2.10025,1.58316,1.59595,0.62063,0.8125,0.88656,0.41582,1.86057,1.26623,1.78825,0.001208,0.001208,0.001208
22,5281.46,2.0639,1.51557,1.52174,0.40429,0.76385,0.61836,0.2709,1.79579,1.38761,1.78998,0.0011684,0.0011684,0.0011684
23,5380.16,1.79006,1.32182,1.53006,0.50642,0.75,0.72119,0.39416,1.74332,1.32162,1.73139,0.0011288,0.0011288,0.0011288
24,5478.61,1.87247,1.34031,1.54103,0.37243,0.6875,0.50749,0.21325,1.81149,1.37714,1.77544,0.0010892,0.0010892,0.0010892
25,5577.64,1.76787,1.21453,1.51778,0.51736,0.875,0.61023,0.24824,1.81638,1.30882,1.74994,0.0010496,0.0010496,0.0010496
26,5675.62,1.68319,1.25817,1.48102,0.41087,0.9375,0.42571,0.19029,1.96326,1.59512,1.81912,0.00101,0.00101,0.00101
27,5773.83,1.66187,1.11876,1.31306,0.42552,0.9375,0.42986,0.18322,1.99298,1.63059,1.82302,0.0009704,0.0009704,0.0009704
28,5872.97,1.85681,1.18726,1.53673,0.4587,0.9375,0.49574,0.20295,1.92302,1.54535,1.79186,0.0009308,0.0009308,0.0009308
29,5973.48,1.77558,1.24645,1.48264,0.40226,0.9375,0.42253,0.19118,1.85709,1.70344,1.75721,0.0008912,0.0008912,0.0008912
30,6074.43,1.81603,1.23348,1.52707,0.48964,1,0.51395,0.20084,1.93244,1.47637,1.78666,0.0008516,0.0008516,0.0008516
31,6172.69,1.724,1.17254,1.49393,0.48411,1,0.56328,0.19648,1.92915,1.5524,1.80118,0.000812,0.000812,0.000812
32,6270.97,1.88614,1.22606,1.5052,0,0,0,0,0,0.00323,0,0.0007724,0.0007724,0.0007724
33,6369.09,1.69657,1.18279,1.38018,0.86422,0.125,0.15741,0.04359,2.43174,4.02956,4.8191,0.0007328,0.0007328,0.0007328
34,6467.09,1.7171,1.20841,1.51999,0,0,0,0,0.93549,3.45836,3.04659,0.0006932,0.0006932,0.0006932
1,53.0442,0.00467,1.89303,1.4629,0.91937,0.92308,0.90535,0.31658,0.00472,1.40013,1.60797,0.0675571,0.0006621,0.0006621
2,104.917,0.00428,1.1945,1.45923,0.84256,0.84615,0.84222,0.30659,0.0042,1.51096,1.54797,0.0348771,0.00131551,0.00131551
3,157.652,0.0039,0.90588,1.37423,0.91932,0.92308,0.9377,0.41071,0.00389,1.72134,1.34578,0.00218392,0.0019556,0.0019556
4,209.43,0.00353,0.88303,1.2751,0.81867,0.86856,0.81537,0.34647,0.00426,0.95414,1.52623,0.00194012,0.00194012,0.00194012
5,260.621,0.00342,0.89726,1.26433,0.95795,0.96154,0.94619,0.40795,0.00395,0.95386,1.42446,0.00192016,0.00192016,0.00192016
6,312.161,0.00349,0.85487,1.25163,0.9189,0.92308,0.9197,0.43526,0.00381,1.3468,1.43657,0.0019002,0.0019002,0.0019002
7,364.061,0.00342,0.77532,1.26416,0.95817,0.96154,0.95493,0.44948,0.00408,0.82681,1.45354,0.00188024,0.00188024,0.00188024
